"interaction","name","selected","shared interaction","shared name","stringdb::coexpression","stringdb::cooccurrence","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::neighborhood","stringdb::score","stringdb::textmining"
"pp","PDK4 (pp) CPT1A","false","pp","PDK4 (pp) CPT1A","0.062",,,,,,"0.71","0.704"
"pp","PDK4 (pp) FAM210B","false","pp","PDK4 (pp) FAM210B","0.063",,,,,,"0.403","0.39"
"pp","SPATA20 (pp) UBXN6","false","pp","SPATA20 (pp) UBXN6",,,,,,,"0.412","0.413"
"pp","TNFRSF17 (pp) FCRL5","false","pp","TNFRSF17 (pp) FCRL5","0.08",,,,,,"0.437","0.414"
"pp","TNFRSF17 (pp) SLAMF7","false","pp","TNFRSF17 (pp) SLAMF7","0.09",,,,,,"0.572","0.549"
"pp","TNFRSF17 (pp) TNFRSF9","false","pp","TNFRSF17 (pp) TNFRSF9",,,,,,,"0.459","0.46"
"pp","TNFRSF17 (pp) CD200","false","pp","TNFRSF17 (pp) CD200",,,,,,,"0.43","0.43"
"pp","TNFRSF17 (pp) CD8A","false","pp","TNFRSF17 (pp) CD8A",,,,,,,"0.4","0.4"
"pp","UTS2 (pp) XCL1","false","pp","UTS2 (pp) XCL1",,,"0.5",,,,"0.499",
"pp","TNS1 (pp) ITGB3","false","pp","TNS1 (pp) ITGB3","0.093",,,"0.109",,,"0.739","0.702"
"pp","TNS1 (pp) SLC4A1","false","pp","TNS1 (pp) SLC4A1","0.665",,,,,,"0.666","0.045"
"pp","TNS1 (pp) IGF1R","false","pp","TNS1 (pp) IGF1R","0.053",,,"0.219",,,"0.607","0.511"
"pp","TNS1 (pp) BCL2L1","false","pp","TNS1 (pp) BCL2L1","0.253",,,"0.076",,,"0.492","0.324"
"pp","CEACAM6 (pp) PDZK1IP1","false","pp","CEACAM6 (pp) PDZK1IP1","0.153",,,,,,"0.432","0.357"
"pp","CEACAM6 (pp) DEFA4","false","pp","CEACAM6 (pp) DEFA4","0.314",,,,,,"0.645","0.505"
"pp","CEACAM6 (pp) CEACAM8","false","pp","CEACAM6 (pp) CEACAM8","0.323",,"0.3","0.849",,,"0.924","0.061"
"pp","CEACAM6 (pp) OLFM4","false","pp","CEACAM6 (pp) OLFM4","0.16",,,,,,"0.4","0.315"
"pp","CEACAM6 (pp) LCN2","false","pp","CEACAM6 (pp) LCN2","0.525",,,,,,"0.65","0.294"
"pp","USP18 (pp) PARP14","false","pp","USP18 (pp) PARP14","0.48",,,,,,"0.661","0.376"
"pp","USP18 (pp) IFI6","false","pp","USP18 (pp) IFI6","0.588",,,,,,"0.813","0.566"
"pp","USP18 (pp) OASL","false","pp","USP18 (pp) OASL","0.779",,,"0.172",,,"0.915","0.575"
"pp","USP18 (pp) OAS3","false","pp","USP18 (pp) OAS3","0.746",,,,,,"0.875","0.53"
"pp","USP18 (pp) CMPK2","false","pp","USP18 (pp) CMPK2","0.523",,,,,,"0.736","0.47"
"pp","USP18 (pp) LY6E","false","pp","USP18 (pp) LY6E","0.135",,,,,,"0.437","0.376"
"pp","USP18 (pp) ISG15","false","pp","USP18 (pp) ISG15","0.83",,"0.9","0.898",,,"0.999","0.965"
"pp","USP18 (pp) RSAD2","false","pp","USP18 (pp) RSAD2","0.882",,,,,,"0.964","0.716"
"pp","USP18 (pp) IFIT3","false","pp","USP18 (pp) IFIT3","0.798",,,"0.126",,,"0.941","0.696"
"pp","USP18 (pp) SIGLEC1","false","pp","USP18 (pp) SIGLEC1","0.101",,,,,,"0.45","0.414"
"pp","USP18 (pp) IFI44L","false","pp","USP18 (pp) IFI44L","0.712",,,,,,"0.882","0.609"
"pp","USP18 (pp) MX1","false","pp","USP18 (pp) MX1","0.812",,"0.9","0.115",,,"0.994","0.704"
"pp","USP18 (pp) HERC5","false","pp","USP18 (pp) HERC5","0.632",,,"0.159",,,"0.912","0.741"
"pp","USP18 (pp) EPSTI1","false","pp","USP18 (pp) EPSTI1","0.118",,,,,,"0.423","0.373"
"pp","USP18 (pp) IFI44","false","pp","USP18 (pp) IFI44","0.666",,,,,,"0.881","0.659"
"pp","USP18 (pp) IFIT1","false","pp","USP18 (pp) IFIT1","0.852",,"0.9","0.126",,,"0.995","0.721"
"pp","USP18 (pp) JAK1","false","pp","USP18 (pp) JAK1","0.053",,"0.9","0.058",,,"0.958","0.592"
"pp","USP18 (pp) CXCL10","false","pp","USP18 (pp) CXCL10","0.312",,,,,,"0.643","0.503"
"pp","PVALB (pp) GYPE","false","pp","PVALB (pp) GYPE",,,,,,,"0.662","0.662"
"pp","PVALB (pp) NRG1","false","pp","PVALB (pp) NRG1",,,,,,,"0.601","0.602"
"pp","PVALB (pp) ANK3","false","pp","PVALB (pp) ANK3","0.118",,,"0.078",,,"0.526","0.465"
"pp","PVALB (pp) S100B","false","pp","PVALB (pp) S100B","0.171",,,"0.164",,,"0.652","0.54"
"pp","PVALB (pp) ASPM","false","pp","PVALB (pp) ASPM","0.066",,,"0.371",,,"0.492","0.206"
"pp","GZMH (pp) CST7","false","pp","GZMH (pp) CST7","0.544",,,,,,"0.634","0.23"
"pp","GZMH (pp) KLRB1","false","pp","GZMH (pp) KLRB1","0.332",,,,,,"0.509","0.296"
"pp","GZMH (pp) FGFBP2","false","pp","GZMH (pp) FGFBP2","0.33",,,,,,"0.629","0.469"
"pp","GZMH (pp) GZMK","false","pp","GZMH (pp) GZMK","0.678","0.1",,,,,"0.734","0.157"
"pp","GZMH (pp) TIGIT","false","pp","GZMH (pp) TIGIT","0.267",,,,,,"0.435","0.261"
"pp","GZMH (pp) GNLY","false","pp","GZMH (pp) GNLY","0.792",,,,,,"0.912","0.596"
"pp","GZMH (pp) KLRD1","false","pp","GZMH (pp) KLRD1","0.563",,,,,,"0.674","0.285"
"pp","GZMH (pp) PRF1","false","pp","GZMH (pp) PRF1","0.783",,,,,,"0.89","0.518"
"pp","GZMH (pp) KLRF1","false","pp","GZMH (pp) KLRF1","0.329",,,,,,"0.573","0.391"
"pp","GZMH (pp) CD8A","false","pp","GZMH (pp) CD8A","0.783",,,,,,"0.875","0.452"
"pp","GZMH (pp) CD8B","false","pp","GZMH (pp) CD8B","0.161",,,,,,"0.431","0.35"
"pp","GZMH (pp) CTSW","false","pp","GZMH (pp) CTSW","0.293",,,,,,"0.608","0.469"
"pp","TUBB1 (pp) LCN2","false","pp","TUBB1 (pp) LCN2",,,,,,,"0.431","0.431"
"pp","TUBB1 (pp) ITGA2B","false","pp","TUBB1 (pp) ITGA2B","0.185",,,,,,"0.482","0.391"
"pp","TUBB1 (pp) SELENBP1","false","pp","TUBB1 (pp) SELENBP1",,,,,,,"0.433","0.433"
"pp","OLFM4 (pp) MMP8","false","pp","OLFM4 (pp) MMP8","0.12",,,,,,"0.443","0.394"
"pp","OLFM4 (pp) DEFA4","false","pp","OLFM4 (pp) DEFA4","0.155",,,,,,"0.535","0.473"
"pp","OLFM4 (pp) CST7","false","pp","OLFM4 (pp) CST7",,,,,,,"0.455","0.455"
"pp","OLFM4 (pp) NOD2","false","pp","OLFM4 (pp) NOD2",,,,"0.345",,,"0.485","0.246"
"pp","OLFM4 (pp) CD177","false","pp","OLFM4 (pp) CD177","0.088",,,,,,"0.547","0.524"
"pp","OLFM4 (pp) LCN2","false","pp","OLFM4 (pp) LCN2","0.239",,,,,,"0.534","0.413"
"pp","OLFM4 (pp) CEACAM8","false","pp","OLFM4 (pp) CEACAM8","0.185",,,,,,"0.422","0.32"
"pp","OLFM4 (pp) LTF","false","pp","OLFM4 (pp) LTF","0.182",,,,,,"0.478","0.388"
"pp","P2RX1 (pp) P2RY12","false","pp","P2RX1 (pp) P2RY12","0.07",,,,,,"0.913","0.91"
"pp","P2RX1 (pp) NT5E","false","pp","P2RX1 (pp) NT5E",,,,,,,"0.464","0.465"
"pp","PF4V1 (pp) CXCL10","false","pp","PF4V1 (pp) CXCL10","0.054",,"0.8","0.237",,,"0.919","0.506"
"pp","OAS3 (pp) EPSTI1","false","pp","OAS3 (pp) EPSTI1","0.177",,,,,,"0.535","0.459"
"pp","OAS3 (pp) PARP14","false","pp","OAS3 (pp) PARP14","0.211",,,"0.331",,,"0.606","0.314"
"pp","OAS3 (pp) ISG15","false","pp","OAS3 (pp) ISG15","0.828",,"0.9",,,,"0.994","0.716"
